,id,pair,cue,target,cond,guess,phase,corr,corr_g,c2t,c2g,t2g,finguess,intrusions
0,0,1,bus,hurt,1,ride,1,0,,0.25217578,0.5366511940956116,0.34494882822036743,,0.0
1,0,2,croak,top,1,frog,1,0,1.0,-0.12875935,0.32010501623153687,0.18999415636062622,frog,0.0
2,0,3,court,jail,0,,1,1,,0.566291,,,,
3,0,4,vivid,sit,0,,1,0,,0.13455118,,,,
4,0,5,year,minor,0,,1,0,,0.2496387,,,,
5,0,6,essay,glue,0,,1,0,,0.015665948,,,,
6,0,7,snow,road,0,,1,0,,0.44269753,,,,
7,0,8,bay,beach,1,area,1,0,,0.5876903,0.389376699924469,0.4149203300476074,,1.0
8,0,9,learn,find,0,,1,0,,0.62303567,,,,
9,0,10,just,need,0,,1,0,,0.6575736,,,,
10,0,11,tile,sand,1,floor,1,1,,0.39506063,0.6000743508338928,0.40949925780296326,,0.0
11,0,12,cabin,jelly,1,fever,1,0,,0.061660893,0.1794920414686203,0.23826001584529877,,0.0
12,0,13,many,all,0,,1,1,,0.7478515,,,,
13,0,14,sap,laugh,1,tree,1,0,1.0,0.08919973,0.39490416646003723,0.20374198257923126,tree,1.0
14,0,15,inch,cover,0,,1,0,,0.23288062,,,,
15,0,16,bike,paint,0,,1,0,,0.31452736,,,,
16,0,17,baby,toy,1,fever,1,0,0.0,0.5090242,0.29378798604011536,0.14064878225326538,,0.0
17,0,18,pious,add,1,man,1,0,1.0,-0.005233292,0.3029339611530304,0.1741177886724472,man,1.0
18,0,19,write,step,0,,1,0,,0.36689934,,,,
19,0,20,fairy,paper,1,mother,1,0,,0.25410262,0.37243613600730896,0.19097347557544708,,0.0
20,0,21,think,know,1,thought,1,0,,0.88507104,0.8708149194717407,0.7983108162879944,,1.0
21,0,22,wart,news,0,,1,0,,-0.0072534606,,,,
22,0,23,mild,track,1,flavor,1,0,1.0,0.10546857,0.4400359094142914,0.12644849717617035,flavor,1.0
23,0,24,night,show,1,time,1,0,,0.5008233,0.5304072499275208,0.47737815976142883,,1.0
24,0,25,best,great,1,answer,1,0,,0.70658535,0.4625694751739502,0.43607136607170105,,0.0
25,0,26,wrong,kill,1,answer,1,0,,0.45672953,0.6217118501663208,0.31808093190193176,,0.0
26,0,27,jog,rent,0,,1,0,,0.08143854,,,,
27,0,28,acorn,minus,0,,1,0,,0.08931689,,,,
28,0,29,dent,fire,0,,1,0,,0.17562199,,,,
29,0,30,cent,art,1,penny,1,0,1.0,0.072835386,0.4127328097820282,0.17084574699401855,penny,1.0
30,0,31,shiny,layer,1,metal,2,0,,0.2976558,0.40968114137649536,0.3701486885547638,,0.0
31,0,32,blues,music,1,clues,2,1,0.0,0.5405771,0.12400273978710175,0.1433865875005722,music,0.0
32,0,33,dip,bossy,1,swim,2,0,,-0.013717066,0.35030680894851685,0.06212503835558891,,0.0
33,0,34,notes,stair,0,,2,0,,0.05721494,,,,
34,0,35,bun,lake,0,,2,0,,0.08999329,,,,
35,0,36,agony,hound,1,pai,2,0,0.0,0.2622713,0.11172109842300415,0.13548745214939117,pain,0.0
36,0,37,tug,vote,0,,2,0,,0.0065951585,,,,
37,0,38,wood,fear,1,tree,2,0,1.0,0.18111432,0.5320031642913818,0.21895161271095276,tree,0.0
38,0,39,yearn,cards,0,,2,0,,0.06786431,,,,
39,0,40,pork,beef,0,,2,1,,0.84590256,,,,
40,0,41,prism,hurry,0,,2,0,,-0.036625378,,,,
41,0,42,tired,bored,0,,2,1,,0.7057688,,,,
42,0,43,yolk,money,1,egg,2,0,,0.015234128,0.7373756170272827,0.20157113671302795,,0.0
43,0,44,slurp,west,0,,2,0,,-0.084954344,,,,
44,0,45,rude,dish,0,,2,0,,0.18629928,,,,
45,0,46,doze,plus,1,sleep,2,0,1.0,0.020389317,0.5591707825660706,0.2367756962776184,sleep,0.0
46,0,47,heavy,duty,0,,2,1,,0.492564,,,,
47,0,48,seize,bee,1,control,2,0,,0.08214486,0.2687434256076813,0.1871016025543213,,0.0
48,0,49,town,god,1,city,2,1,0.0,0.2290586,0.7711463570594788,0.28005439043045044,god,0.0
49,0,50,last,day,1,first,2,0,1.0,0.6838184,0.7223884463310242,0.5370298027992249,first,0.0
50,0,51,force,happy,0,,2,0,,0.26116312,,,,
51,0,52,task,alone,1,paper,2,0,0.0,0.3995754,0.26473480463027954,0.22883476316928864,force,0.0
52,0,53,scarf,silk,0,,2,0,,0.63188416,,,,
53,0,54,pack,full,0,,2,0,,0.40528598,,,,
54,0,55,going,there,1,out,2,1,0.0,0.7492553,0.7576860189437866,0.6990918517112732,there,0.0
55,0,56,honor,month,0,,2,0,,0.26787153,,,,
56,0,57,gin,sharp,1,drink,2,0,,0.16577865,0.5651217103004456,0.16554906964302063,,0.0
57,0,58,royal,hotel,0,,1,0,,0.34354278,,,,
58,0,59,mend,hot,1,break,2,0,,0.094790205,0.43182817101478577,0.3741164207458496,,0.0
59,0,60,vine,navy,0,,2,0,,0.12478929,,,,
60,1,1,bus,hurt,0,,1,0,,0.25217578,,,,
61,1,2,croak,top,0,,1,0,,-0.12875935,,,,
62,1,3,court,jail,1,bike,1,1,0.0,0.566291,0.15783028304576874,0.18403160572052002,jail,0.0
63,1,4,vivid,sit,1,kill,1,0,0.0,0.13455118,0.07852301001548767,0.34599727392196655,light,0.0
64,1,5,year,minor,1,long,1,1,1.0,0.2496387,0.48211154341697693,0.23963937163352966,long,0.0
65,1,6,essay,glue,1,learn,1,0,0.0,0.015665948,0.2897052466869354,0.1739317774772644,write,0.0
66,1,7,snow,road,1,dent,1,0,0.0,0.44269753,0.18342138826847076,0.19181931018829346,art,0.0
67,1,8,bay,beach,0,,1,0,,0.5876903,,,,
68,1,9,learn,find,1,art,1,0,0.0,0.62303567,0.36448654532432556,0.2802623510360718,yearn,0.0
69,1,10,just,need,1,stop,1,0,0.0,0.6575736,0.6396661996841431,0.5342175364494324,go,0.0
70,1,11,tile,sand,0,,1,0,,0.39506063,,,,
71,1,12,cabin,jelly,0,,1,0,,0.061660893,,,,
72,1,13,many,all,1,cabin,1,0,0.0,0.7478515,0.18259133398532867,0.23361103236675262,all,0.0
73,1,14,sap,laugh,0,,1,0,,0.08919973,,,,
74,1,15,inch,cover,1,long,1,1,1.0,0.23288062,0.34890541434288025,0.32307353615760803,long,0.0
75,1,16,bike,paint,1,move,1,0,0.0,0.31452736,0.29110798239707947,0.2729130685329437,path,0.0
76,1,17,baby,toy,0,,1,0,,0.5090242,,,,
77,1,18,pious,add,0,,1,0,,-0.005233292,,,,
78,1,19,write,step,1,art,1,0,0.0,0.36689934,0.2502955496311188,0.251531720161438,notes,1.0
79,1,20,fairy,paper,0,,1,0,,0.25410262,,,,
80,1,21,think,know,0,,1,0,,0.88507104,,,,
81,1,22,wart,news,1,skin,1,0,0.0,-0.0072534606,0.3973367512226105,0.13778726756572723,dent,0.0
82,1,23,mild,track,0,,1,0,,0.10546857,,,,
83,1,24,night,show,0,,1,0,,0.5008233,,,,
84,1,25,best,great,0,,1,0,,0.70658535,,,,
85,1,26,wrong,kill,0,,1,0,,0.45672953,,,,
86,1,27,jog,rent,1,inch,1,0,0.0,0.08143854,0.1412438005208969,0.033885661512613297,more,1.0
87,1,28,acorn,minus,1,track,1,0,0.0,0.08931689,-0.01959475316107273,0.22591345012187958,toy,0.0
88,1,29,dent,fire,1,crust,1,0,0.0,0.17562199,0.2036142498254776,0.15509508550167084,wart,0.0
89,1,30,cent,art,0,,1,0,,0.072835386,,,,
90,1,31,shiny,layer,0,,2,0,,0.2976558,,,,
91,1,32,blues,music,0,,2,1,,0.5405771,,,,
92,1,33,dip,bossy,0,,2,0,,-0.013717066,,,,
93,1,34,notes,stair,1,write,2,0,0.0,0.05721494,0.3095557987689972,0.06372104585170746,learn,0.0
